Transaction ID,Invoice ID,Date,Customer,Supplier,Category,Country,Amount,Payment Method,Status,Employee,Department
Marketing,Travel,France,Pending,2025-09-16,TXN_00032,472.67,Rachel Kennedy,858490,Bank Transfer,Velez LLC,David Johnson
Germany,354.3,Software,Angela Morrison,Peterson-Walton,Sales,2025-03-06,TXN_00033,Pending,Terry Mills,198907,Bank Transfer
Marketing,Travel,2026-06-04,60.61,Chad Miller,TXN_00034,Completed,USA,806073,Silva-Hill,PayPal,Melissa Hughes
300896,448.61,Hull Inc,Software,Sean Wheeler,2025-03-27,France,Jacob Oneill,TXN_00035,Completed,IT,Bank Transfer
Software,2025-04-29,Finance,"Franco, Welch and Lucas",585100,Lori Solomon,Completed,Frederick Salas,Credit Card,TXN_00036,USA,443.13
Software,Ashley Jenkins,Rachel Mejia,TXN_00037,2025-10-07,926.37,Completed,USA,HR,Torres Group,Debit Card,976638
864.65,Glenn Glover,TXN_00038,Credit Card,609231,"Johnson, Sutton and Hart",Completed,Office,2024-12-29,Brittany Marks,HR,Canada
2025-05-13,UK,Daniel Kramer,Ashley Harmon,TXN_00039,Pending,102260,Office,Bank Transfer,HR,Harris and Sons,926.52
Jamie Carr,Marketing,Travel,Charles Frey,TXN_00040,France,2026-05-20,Completed,661.87,Richards and Sons,830429,Bank Transfer
Software,579.18,2025-04-23,TXN_00041,Shelly Garcia,411120,Cancelled,Credit Card,USA,Linda Brown,IT,Snyder-Mason
TXN_00042,Software,Bell-Caldwell,159942,Finance,Amanda Stokes,Jeffery Stout,France,Completed,Debit Card,476.79,2025-01-22
184002,Software,TXN_00043,Patricia Mason,Curtis-Garcia,2025-08-16,Sales,Pending,595.04,USA,Debit Card,Christina Burton
697347,Software,Finance,Aaron Bowen,Knapp-Moore,France,Pending,594.52,Credit Card,TXN_00044,2025-07-28,Joshua Chen
2025-09-09,TXN_00045,934.71,Travel,692683,UK,Gregory Wilson,"Garcia, Williams and Rodriguez",Cancelled,Lori Sharp,Debit Card,IT
Germany,130.88,TXN_00046,350280,Douglas Walker,2026-05-20,Pending,"Dean, Scott and Rush",Samuel Holmes,Office,IT,PayPal
888387,Software,Finance,Erik Pennington,458.29,TXN_00047,Mcmahon-White,Anthony Colon,Completed,2025-06-01,Credit Card,USA
TXN_00048,2024-08-26,Penny Young,Marketing,132.46,Travel,UK,Jarvis LLC,323508,Completed,David Jones,PayPal
Jordan Davis,Finance,TXN_00049,Jordan Inc,Cancelled,487477,Office,438.18,2026-01-07,Karen Palmer,Canada,PayPal
Travel,108203,"Walters, Scott and Conrad",2024-11-30,TXN_00050,France,Samantha Cooper,299.38,Joshua Reed,Completed,Credit Card,IT
Marketing,Software,221035,France,Cancelled,Ethan Riley,"Butler, Jensen and Vargas",TXN_00051,2024-12-30,155.45,PayPal,John Mueller
TXN_00052,2025-04-06,687.5,Cancelled,Office,852470,Michael Sanchez,HR,Canada,PayPal,"Rivas, Dennis and Schneider",Megan Patrick
TXN_00053,2026-02-26,Software,"Rosales, Harrell and Wolfe",Michele Jones,Sales,Completed,363319,USA,634.28,PayPal,Debra Mitchell
TXN_00054,Katherine Rivera,"Carter, Miller and Freeman",Software,161.58,Melissa Ortiz,UK,Cancelled,2025-01-10,Bank Transfer,HR,449759
Kimberly Miller,Software,75.24,Sales,Cancelled,TXN_00055,2025-08-17,"Allison, Williams and Villa",USA,688153,Debit Card,Todd Goodwin
975136,Patrick Smith,2026-03-13,552.53,TXN_00056,Johnson-Mata,Sales,France,Completed,Office,Kevin Daugherty,Bank Transfer
423232,898.92,Marketing,Abigail Hughes,TXN_00057,Daniel Murphy,Cancelled,Office,USA,2025-06-16,Debit Card,Crosby-Simpson
799330,2024-11-20,Software,Marketing,UK,780.12,David Hernandez,Cancelled,Barber-Hanson,Savannah Bailey,TXN_00058,Bank Transfer
Samuel Mercado,TXN_00059,Software,Canada,348237,881.42,Completed,Credit Card,IT,"Bowen, Farmer and Garcia",Matthew Roach,2025-04-07
2025-03-09,920391,266.81,Sales,TXN_00060,Pending,"Avila, Gonzalez and Good",Office,Credit Card,Jonathan Pitts,Canada,Jonathan Barton
Jamie Henderson,Software,2026-02-06,Pending,816.59,TXN_00061,593554,Faith Jackson,Perez-Adams,IT,Bank Transfer,Canada
Software,TXN_00062,960394,Evan Maldonado,Pending,Ronald Fox,2026-05-27,IT,23.66,Debit Card,"Bauer, Ayers and Cruz",Canada
2025-10-18,TXN_00063,Software,Finance,392136,UK,Christopher Gray,Sarah Frank,Cancelled,Price Ltd,Bank Transfer,351.15
2024-07-26,447235,Software,Finance,Kenneth Marshall,877.04,Mackenzie Payne,TXN_00064,Completed,USA,Sullivan-Medina,PayPal
Frederick Bell,Software,"Esparza, Williams and Lee",TXN_00065,Karen Rodriguez,Cancelled,596.57,USA,378361,IT,PayPal,2025-10-17
Robert Leonard,TXN_00066,Travel,Patterson-Newman,Sales,France,Pending,2025-02-23,115.65,557592,Debit Card,Jacqueline Byrd
519.92,TXN_00067,"Harper, Buckley and Sanchez",2025-03-06,Sarah Dillon,843215,Pending,Jerome Steele,Office,USA,HR,Debit Card
TXN_00068,Travel,Kathleen Green,UK,623.16,Cancelled,Scott-Turner,173372,Credit Card,IT,2025-09-03,Maurice Thompson
Germany,Marketing,TXN_00069,326.18,631756,Cancelled,Dr. Steven Walker,Office,Warner LLC,2024-12-17,Renee Brown,PayPal
Germany,Pamela Miller,677.32,301158,Finance,"Peterson, Turner and Taylor",Charles Marshall,TXN_00070,Cancelled,Office,Debit Card,2026-03-29
833.73,Marketing,France,TXN_00071,415568,Pending,Office,Shannon Cuevas,"Lee, Harris and Valdez",Diana Green DVM,PayPal,2025-02-06
Mejia-Pope,Travel,Brian Flores,France,654.71,Pending,550770,TXN_00072,John Barnett,HR,Bank Transfer,2025-09-07
2024-12-08,Matthew Moore,Software,Odonnell-Alexander,473.19,Sales,France,Cancelled,Crystal King,TXN_00073,Debit Card,808446
397571,Travel,Michelle Hunt,France,335.19,Linda Watts,Cancelled,2026-03-04,TXN_00074,IT,Debit Card,"Thomas, Roberts and Harris"
335552,Software,2026-05-24,Canada,Finance,TXN_00075,Pending,Rios-Jackson,Jasmine Anderson,24.43,Debit Card,Sandra Chen
Germany,TXN_00076,Matthew Mueller,Software,2025-03-24,991014,Nguyen Ltd,Cancelled,Debit Card,HR,Traci Atkins,414.44
TXN_00077,2025-05-12,Sophia Terry,147.57,Completed,618392,Office,Credit Card,Jasmine Evans,HR,Canada,Stone and Sons
James Smith,Software,2025-10-13,Jennifer Moon,TXN_00078,France,464.55,Completed,"Knapp, Hall and Perez",HR,Debit Card,329471
TXN_00079,Finance,239816,France,Pending,2025-02-25,Angelica Morgan,Office,Lori Gonzalez,PayPal,987.89,Snyder-Gomez
Rita Smith,954596,Travel,426.74,Harrison Ltd,France,Completed,2024-09-13,Wanda Perkins,TXN_00080,HR,Bank Transfer
Brown LLC,TXN_00081,Canada,839.86,2025-07-17,Gerald Fuentes,Cancelled,Office,Patricia Cantrell,HR,571932,PayPal
Software,2024-07-14,757193,UK,Parker and Sons,Adam Ray,Completed,Kaylee Little,TXN_00082,439.87,IT,PayPal
452161,2026-03-05,TXN_00083,Wilson Group,France,80.58,Nicole Rocha,Completed,Office,Debit Card,HR,Monique Richardson
64.23,Mindy Oneal,Software,Canada,Finance,827659,Pending,Bridget Cook,"Hampton, Padilla and Wilkinson",2024-08-03,Bank Transfer,TXN_00084
Sarah Leon,Archer Inc,TXN_00085,Finance,2024-11-04,588557,206.83,Pending,Office,USA,Bank Transfer,Jessica Williams
Troy Combs,Anderson and Sons,Software,Gregory Donovan,France,Pending,TXN_00086,Credit Card,380.38,IT,2025-08-09,829308
Germany,Marketing,Yu-Trujillo,Pending,Karen Valencia,Office,TXN_00087,Michael Nash,2024-10-03,538.22,890075,Debit Card
Germany,2026-06-17,Dr. Christopher Wilson,"Martinez, Campos and Smith",TXN_00088,386193,Cancelled,Anthony Rogers,Office,PayPal,HR,29.02
Germany,2025-11-26,Software,Victor Reed,Finance,Credit Card,Sanchez-Trujillo,Pending,919.54,TXN_00089,Benjamin Lawrence,859359
Moore and Sons,Brittany Ballard,Travel,Marissa Gallagher,TXN_00090,83.95,Completed,2025-01-04,USA,Bank Transfer,HR,691807
Software,UK,2025-03-01,Pending,IT,"Ho, Turner and Morris",Sherri Lopez,Debit Card,TXN_00091,379.1,290556,Steven Scott
TXN_00092,453894,UK,Sales,Pending,752.01,Brenda Peters,Caleb Chang,Hayes-Mason,2024-08-31,Office,Bank Transfer
593152,2025-11-11,Renee Diaz,Software,TXN_00093,Sales,France,52.09,Completed,Smith Inc,Maurice Dunn,PayPal
Joseph Petersen,Travel,Sales,TXN_00094,919182,2026-05-29,"Shields, Carpenter and Jones",754.23,Completed,USA,Erin Roberts,Debit Card
Marketing,Software,Katie Fowler,2026-03-02,Cancelled,Melissa Taylor,Credit Card,126.22,Canada,751517,TXN_00095,Yates Ltd
Victoria Freeman,Diana Alvarez,Finance,587623,2025-08-14,Travel,TXN_00096,UK,Myers Group,Cancelled,Debit Card,766.9
884256,Emma Buckley,Travel,777.79,TXN_00097,Sales,Nunez Group,Pending,2025-05-17,USA,Debit Card,Jason Hickman
James Vincent,Marketing,Software,Macdonald Group,706794,UK,Matthew Alexander,Pending,TXN_00098,Bank Transfer,2025-04-07,575.8
2025-03-09,101.9,Finance,179688,Travel,Allen Green,"Carson, Davis and Curtis",Cancelled,Canada,PayPal,Tara Gonzalez,TXN_00099
Software,Perez-Williams,Michael Mejia,France,782.64,944657,Cancelled,Wendy Hopkins,2025-07-12,TXN_00100,HR,PayPal
TXN_00101,2025-02-08,505.96,Cindy Atkinson,Completed,Office,USA,793655,"Stephens, Howell and Jones",Joshua Johnson,HR,PayPal
2025-05-09,TXN_00102,Eric Johnson,962276,Kerry Russell,433.52,Cancelled,"Bradford, Hall and Fleming",Office,USA,HR,PayPal
TXN_00103,Germany,841666,2025-12-29,Software,Caldwell-Thornton,Finance,176.14,Penny Howard,Cancelled,Travis Beck,PayPal
Germany,2026-02-26,Christopher Hernandez,Marketing,912270,TXN_00104,Pending,435.57,Office,Brianna Williams,Moore Inc,PayPal
Software,TXN_00105,Finance,Harvey PLC,UK,971084,Pending,881.63,Debit Card,2024-08-01,David Fowler,Amanda Neal
TXN_00106,Germany,Marketing,2026-05-24,Travel,739979,Pending,336.4,Dr. Joy Grant MD,Joel Yang,Price Group,Bank Transfer
611233,Software,TXN_00107,Finance,UK,2025-06-14,"Walker, Gonzalez and Conner",Pending,Curtis Obrien,Tyler Phillips,PayPal,797.83
2024-07-09,Rush-Murillo,Marketing,TXN_00108,10.15,835244,France,Amber Fisher,Susan Maddox,Office,Completed,Debit Card
TXN_00109,Germany,Peterson-Campbell,2025-06-09,855053,555.18,Cancelled,Office,Kimberly Rojas,HR,Jonathan Taylor,Debit Card
448.17,Germany,TXN_00110,Becky Ryan,Travel,2025-06-06,"Preston, Saunders and Salazar",Ian Rogers,Completed,Credit Card,IT,777278
Finance,332360,Pending,306.21,TXN_00111,Office,Travis Juarez,"Murray, Herrera and Robinson",Canada,PayPal,2026-03-29,Sarah Chan
Germany,996.63,656711,Kimberly Johnson,Hernandez-Dunn,Pending,TXN_00112,Fred Dougherty,2026-02-05,Office,HR,PayPal
230.54,2024-07-29,UK,384076,Sales,Pending,Daniels Group,TXN_00113,Office,Virginia Cantu,Debit Card,John West
Finance,2025-07-19,Travel,Denise Stevens,Pending,Gary Jones,Rice and Sons,878967,TXN_00114,Bank Transfer,Canada,191.54
Green Ltd,TXN_00115,Travel,Joshua Rodriguez,2025-11-12,France,897135,Completed,Credit Card,Maria Dunn,IT,283.0
TXN_00116,338533,Jones Group,Sales,302.27,Pending,Nicholas Smith,Office,2026-05-10,Canada,Debit Card,Kathy Lopez MD
Michael Singh,Travel,Tracy Wilson,UK,"Taylor, Powers and Lloyd",2025-11-21,Cancelled,157174,697.42,TXN_00117,HR,Debit Card
Meagan Vazquez,Software,Joseph-Thompson,2025-06-14,France,TXN_00118,Pending,207570,IT,Mandy Miller,Bank Transfer,284.34
Nicole Nelson,2026-04-15,Software,293319,UK,Sales,Lee-Hays,941.06,TXN_00119,Completed,Kim Patterson,Bank Transfer
577.02,Marketing,2026-02-22,Margaret Sanchez,Credit Card,520172,TXN_00120,Completed,Office,USA,Amber Henry,Smith-Bradford
Lee-Park,Finance,Travel,UK,950544,TXN_00121,Michael Park,Alexis Griffith,Completed,85.18,Debit Card,2026-05-13
Daniel Paul,901577,Kayla Ellison,France,2025-03-05,TXN_00122,596.13,Office,Cancelled,Debit Card,HR,"Allen, Shaw and Conrad"
Finance,Erika Osborn,2025-06-09,UK,572398,Pending,Ricky Johnson,"King, Kelley and Frank",Office,TXN_00123,Bank Transfer,860.17
960.11,Marketing,Software,TXN_00124,France,Griffin Inc,Completed,2024-08-28,Credit Card,Wayne Richards,751194,Victor Garcia
Scott Bautista,2025-10-03,Travel,Richard Chandler,Sales,Smith-King,TXN_00125,Cancelled,Debit Card,157.06,USA,377501
Germany,450.5,Software,Jonathan Dean,264136,2025-02-01,Sales,TXN_00126,Pending,Holly Davis,"Jennings, Watson and Allen",Bank Transfer
342720,Marketing,2026-06-14,UK,TXN_00127,"Chang, Hahn and Weber",Completed,Office,Mark Mcdonald,Bank Transfer,Shannon Garcia,702.99
Timothy Smith,Travel,Nicole Cervantes,Peck-Jones,Sales,France,Pending,TXN_00128,661.18,Debit Card,2026-03-01,377405
Lori Johnston,TXN_00129,Software,671015,"Jensen, Finley and Abbott",908.41,Jordan West,Sales,Completed,Debit Card,Canada,2025-06-12
Megan Harvey,Isaac Mcdaniel,748.96,Sales,France,2025-09-21,Pending,TXN_00130,Office,Green PLC,PayPal,273982
"Rose, Harris and Gutierrez",Melinda Montoya,Travel,Gary Walker,591465,UK,Finance,TXN_00131,Cancelled,PayPal,2024-07-01,699.73
2026-01-09,Patrick Hayes,Ware-Hansen,TXN_00132,Cancelled,617781,Office,598.04,IT,USA,Bank Transfer,Isabella George
2025-04-26,John Wilson,733039,TXN_00133,Cancelled,Office,Credit Card,USA,Michael Salinas,91.33,IT,Williams-Moore
Jennifer Alexander,Marketing,Software,704238,Pending,Gray-Moyer,TXN_00134,470.5,2024-12-27,Sean Edwards,Bank Transfer,Canada
Germany,713762,969.06,TXN_00135,2024-08-22,"Smith, Norman and Rose",Pending,Jasmin Mcbride,Office,Daniel Leach,Bank Transfer,HR
2026-03-13,"Blair, Burnett and Patel",Brittany Jackson,Pending,Steven Campbell,Office,TXN_00136,857.73,USA,449499,HR,PayPal
Germany,TXN_00137,2026-05-24,Travel,402218,Sales,813.57,Pending,Maria Walker,Catherine Landry,Credit Card,Cooper-Nelson
Choi-Welch,429795,Brenda Ryan MD,2024-10-15,Bradley Cherry,UK,Sales,TXN_00138,115.92,Cancelled,Office,Bank Transfer
Germany,Browning-Chandler,789606,TXN_00139,Travel,Kimberly Harris,Cancelled,IT,Dennis Lawrence,Debit Card,2026-03-09,413.25
Germany,Finance,752878,2025-08-03,Joshua Sanchez,Pending,Le Ltd,Amy Warren,TXN_00140,Office,759.99,Debit Card
237377,Germany,Austin Vang,Reeves-Moreno,Sales,TXN_00141,2025-11-09,880.85,Completed,Office,Dominique Sanders,Bank Transfer
Jordan-Thomas,709.78,Travel,2024-12-03,Edwin Lopez,Sales,760626,Cancelled,TXN_00142,Deborah Le,Canada,PayPal
224.7,679077,Credit Card,Kathryn Bowen,Sales,Pending,2026-02-13,Office,TXN_00143,USA,Joseph Moore,Wright Inc
2025-10-18,Germany,Software,779172,932.65,TXN_00144,Cancelled,Joshua Jensen,Lynch-Sanchez,Joshua Carter,IT,PayPal
Germany,Marketing,2025-03-20,Pending,TXN_00145,243.73,Office,Emily Smith,Tyler Meyer,535673,Stewart-Little,Debit Card
TXN_00146,864.03,Travel,2025-07-13,728492,Darrell White MD,Pending,Carter and Sons,Troy Washington,IT,Canada,PayPal
Travel,"Martinez, Brown and Conley",TXN_00147,UK,2024-08-05,Cancelled,Louis Rodriguez,820.55,Alexander Taylor,PayPal,IT,925981
Steven Cole,998.9,"Valdez, Perez and Barrett",Travel,Kimberly Shah,978157,France,TXN_00148,Completed,2026-02-18,Bank Transfer,HR
664742,Bradley Johnson,UK,332.44,Pending,TXN_00149,Alexander Smith,Office,2025-02-19,IT,Bank Transfer,"Best, Henry and Jones"
2026-02-19,Travel,Paula Spencer,Sales,Pending,Snyder-Bush,TXN_00150,297816,Debit Card,571.8,Canada,Michelle Garner
433632,Germany,705.23,2026-03-05,Marketing,TXN_00151,Travel,Krystal Quinn,Rodriguez and Sons,Pending,Bank Transfer,Lisa Jones
Barbara Ramirez,Software,TXN_00152,Calvin Rice,Completed,Glover-Mueller,502.29,2024-12-23,PayPal,HR,Canada,619389
Germany,Marketing,"Stark, Gonzalez and Vasquez",Jeremy Stark,Travel,2025-06-06,204555,15.35,Pending,Sherry Johnson,Debit Card,TXN_00153
Jonathan Garcia,TXN_00154,Hill-Powell,UK,Sales,338.56,2024-09-17,Cancelled,Office,Jordan Owen,Bank Transfer,178463
TXN_00155,2026-03-27,France,Taylor Garcia,Mr. Joseph Nguyen Jr.,Cancelled,993140,"Monroe, Morgan and Swanson",Office,HR,380.01,PayPal
667296,Preston-Orozco,Software,68.42,Casey Silva,TXN_00156,France,Sales,Completed,2025-01-19,PayPal,James Gilmore MD
TXN_00157,Austin Cooper,Software,Paul Johnson,2025-06-05,555052,Sales,Completed,USA,Smith-White,443.68,PayPal
Marketing,440131,Software,TXN_00158,358.46,2025-12-17,"Carter, Pearson and Miller",UK,Laura White,Completed,Bank Transfer,Dalton Wilson
Marketing,656968,Torres PLC,TXN_00159,681.8,Tyler Lewis,France,Completed,Office,Brittney Wilson,2026-06-27,Debit Card
Germany,Finance,Travel,619.71,Melissa Santos,Pending,182804,Travis Rose,Frank Ltd,Debit Card,2025-07-29,TXN_00160
Bryan Perez,TXN_00161,Software,Germany,Amy Ward,Sales,2024-08-06,Pending,250069,Delacruz-Martin,637.9,Bank Transfer
Michael Montgomery DDS,Thomas-Campbell,TXN_00162,943718,677.61,UK,Completed,Office,Debit Card,David Mcbride,HR,2025-06-17
TXN_00163,Travel,UK,Melanie Williams,2025-09-30,462351,Timothy Torres,Cancelled,Perkins-Williams,IT,Bank Transfer,638.94
Christine Johnson,Marketing,2026-06-02,"Hart, Ayala and Faulkner",999.37,TXN_00164,579027,Completed,Office,Laura Nash,Bank Transfer,Canada
2025-05-05,Reynolds Group,Travel,TXN_00165,UK,Jeff Peters,499889,Completed,James Williams,HR,PayPal,574.81
865.07,Software,387813,English PLC,Melanie Mcgee,TXN_00166,France,Cancelled,Credit Card,2025-02-10,HR,Brittany Rivera
TXN_00167,Marketing,Jennifer Ruiz,Melanie Miller,973294,607.06,Completed,Office,Lawson-Thomas,Canada,PayPal,2025-10-06
TXN_00168,Canada,"Freeman, Warren and Nelson",751051,Pending,628.25,Office,Sandra Holloway,Credit Card,HR,2025-09-03,Jennifer Holland
2025-02-22,Travel,134985,Kyle Ware,UK,Mallory Moore,Harrison-Hill,Pending,TXN_00169,Credit Card,IT,732.36
Finance,200.79,883790,2025-07-03,Cancelled,Office,Dennis Nunez,TXN_00170,Canada,PayPal,Tiffany Chandler MD,Newton Group
Software,385765,TXN_00171,Joseph Douglas,UK,Pending,Byrd-Nielsen,914.05,Jade Pope,2024-10-06,IT,Bank Transfer
Germany,943298,Software,962.89,"Torres, Curry and Jones",2025-10-15,TXN_00172,Completed,Jillian Williams,Debit Card,HR,Cheryl Miller
William Lucero,Travel,TXN_00173,986827,UK,2025-04-09,Sanchez Inc,Completed,Nathan Henderson,IT,90.3,Bank Transfer
Germany,Software,Tracy Harrell,2025-05-24,662636,Tyler Wright,368.59,Cancelled,Green-Smith,HR,PayPal,TXN_00174
Tracy Hudson,Kenneth Brennan,Travel,2025-02-03,UK,108.35,Sales,Pending,"Owens, Martin and Mcclain",TXN_00175,Debit Card,962367
Travel,749641,UK,Sales,2026-02-23,TXN_00176,915.26,Cancelled,Darren Barnes,Debit Card,Luna-Chan,Mark Garcia
649.24,UK,Sales,Jeffery Knapp,2024-09-06,TXN_00177,Pennington Group,Completed,Office,Credit Card,766269,Bruce Adams
Germany,Marketing,TXN_00178,139019,2026-03-31,Angelica Strong,Cancelled,116.12,Office,Debit Card,French PLC,Katherine Rodriguez
Marketing,507524,Gomez Inc,Carolyn Lane,2026-04-18,UK,Angel Lewis,TXN_00179,Cancelled,Office,Bank Transfer,670.49
Nicolas Hunt,833.69,2025-03-24,Michael Gomez,Travel,Sales,Pending,Richard-Jenkins,TXN_00180,USA,Bank Transfer,535037
823811,Misty Morgan,Rodney Brown,Sales,Pending,2026-05-20,"Flores, Torres and Young",TXN_00181,Office,Debit Card,443.38,Canada
Sean Allen,901.7,818987,France,Completed,Office,Jennifer Clarke,2026-03-07,TXN_00182,HR,PayPal,"Jones, Charles and Banks"
389282,Software,Marketing,Yu and Sons,William Scott,Completed,Sara Adams,949.01,USA,2025-08-02,TXN_00183,Bank Transfer
Scott Jones,Marketing,Patrick Wise,2026-05-25,Travel,Credit Card,772875,971.09,France,Pending,Foster-Cox,TXN_00184
Curtis PLC,Marketing,Canada,68.61,232040,Travel,TXN_00185,Kathleen Coleman,Cancelled,Joshua Duarte,Debit Card,2025-09-03
Marketing,952547,Software,TXN_00186,774.37,UK,"Davis, Walker and King",Pending,2025-07-04,Credit Card,Shawn Morgan,Brenda Schultz
Travel,Credit Card,UK,Sales,TXN_00187,Brian Huynh,2025-07-04,236306,Cancelled,John Lee,Fleming Inc,798.51
Software,Grace Miller,Derrick Rivera,UK,TXN_00188,2024-09-25,Bell-Carey,789.98,Cancelled,Debit Card,IT,238205
116547,2025-04-28,Software,TXN_00189,UK,Sales,Cancelled,52.4,Tracy Petersen,Jorge Robinson,Bank Transfer,Robinson and Sons
448.28,Germany,Software,TXN_00190,"Howard, Koch and Vargas",Sarah Stout,Finance,Timothy Shaw,2024-12-02,Cancelled,PayPal,881886
Reyes-Turner,Susan Clark,2026-03-13,Finance,Anna Stanton,France,214351,Cancelled,Office,Credit Card,221.55,TXN_00191
2024-10-28,TXN_00192,Jeremy Cook,HR,60.83,Pending,416282,Office,USA,Tucker Group,Bank Transfer,Phillip Novak
819425,Germany,Software,TXN_00193,712.4,Nicole Lawrence,Hunter Wright,Sales,Completed,2025-11-20,Bank Transfer,"Sanchez, Santos and Baker"
65.68,Finance,Travel,"Dyer, Anderson and Welch",Jacob Gomez,Cancelled,2026-05-18,Eric Bullock II,Canada,PayPal,437758,TXN_00194
Eric Cox,Finance,Travel,2025-04-24,Michael Hawkins,TXN_00195,UK,Pending,674993,"Delgado, Rice and Alvarez",380.9,PayPal
TXN_00196,Finance,Lynn Richmond,Credit Card,Davis Ltd,Allen Perez,Cancelled,2025-09-24,734836,Office,793.1,USA
Germany,TXN_00197,Software,451.55,Jared Ellis,2025-07-14,Clark Group,855855,Pending,Debit Card,Erica Brady,IT
